Sample_ID,lat,lon,dissolvedO2,orp,pH,tds,temp,time,turbidity,bga,bga_temp,chl_temp,chlorophyll
S1-Ulhas River,19.25431633,73.22120583,18.779,0,10.89,541.33392,35.8125,18-05-2025 16:11,0,22422.668,32.5,29.6,17.6
S1-Ulhas River,19.25432967,73.22122333,19.373,-3897,10.89,1715.1521,35.75,18-05-2025 16:11,0,26715.1152,32.5,29.7,31.4
S1-Ulhas River,19.25432567,73.22122917,19.373,-5423,10.89,1715.1521,35.75,18-05-2025 16:12,0,23560.6719,32.5,29.8,14.4
S1-Ulhas River,19.25432817,73.22122283,19.373,-5395,10.89,1715.1521,35.75,18-05-2025 16:12,0,20248.1699,32.5,29.9,19.7
S1-Ulhas River,19.2543245,73.22123267,19.373,-5460,10.89,1715.1521,35.5625,18-05-2025 16:12,0,20273.3301,32.4,29.9,24.8
S1-Ulhas River,19.25430467,73.22125967,19.688,-5401,10.89,1715.1521,35.0625,18-05-2025 16:13,0,20295.3477,32.4,29.9,21.6
S1-Ulhas River,19.254257,73.22132283,19.688,-5307,10.89,1715.1521,34.6875,18-05-2025 16:13,0,19299.3926,32.4,30,14.4
S1-Ulhas River,19.25418633,73.22141467,19.688,-5305,10.89,1715.1521,34.4375,18-05-2025 16:13,0,20046.9238,32.4,29.9,31.2
S1-Ulhas River,19.254183,73.22142033,19.688,-5300,10.89,1719.18884,34.1875,18-05-2025 16:14,0,20062.6426,32.4,30,31.9
S1-Ulhas River,19.25418883,73.22141733,19.688,-5201,10.89,1715.1521,34,18-05-2025 16:14,0,20068.9316,32.4,30,23
S1-Ulhas River,19.25418067,73.22140517,19.688,-5131,10.89,1715.1521,33.9375,18-05-2025 16:14,0,20106.6602,32.4,30,33.9
S1-Ulhas River,19.25417333,73.22140183,20.823,-4417,5.55004,1719.18884,33.0625,18-05-2025 16:15,0,20116.0938,32.4,29.9,13.1
S1-Ulhas River,19.254153,73.22141333,22.623,-3359,6.31593,1715.1521,33.125,18-05-2025 16:15,0,20138.1035,32.4,30,13.4
S1-Ulhas River,19.25414783,73.22140967,22.623,-3605,6.76536,1715.1521,33.0625,18-05-2025 16:16,0,20134.959,32.4,29.9,29.1
S1-Ulhas River,19.2541425,73.22140717,21.26,-3763,6.90897,1715.1521,33.0625,18-05-2025 16:16,0,20131.8145,32.4,30,32.5
S1-Ulhas River,19.25413733,73.22140767,20.334,-3850,6.80525,1715.1521,33.0625,18-05-2025 16:16,0,20150.6816,32.4,30,29.3
S1-Ulhas River,19.25414133,73.22140383,19.897,-3872,7.07119,1715.1521,33.0625,18-05-2025 16:17,0,20232.4434,32.3,29.6,17.6
S1-Ulhas River,19.254138,73.22140017,19.216,-3913,6.776,1719.18884,33.0625,18-05-2025 16:17,0,20273.3301,32.3,29.7,31.4
S1-Ulhas River,19.25413817,73.22140183,21.181,-3942,7.03396,1719.18884,33.0625,18-05-2025 16:17,0,20285.9121,32.3,29.8,14.4
S1-Ulhas River,19.2541375,73.2214005,21.181,-3934,7.018,1723.24219,33.0625,18-05-2025 16:18,0,20263.8945,32.3,29.9,19.7
S1-Ulhas River,19.254134,73.22139917,19.059,-3935,6.66697,1723.24219,33,18-05-2025 16:18,0,22422.668,32.5,29.9,24.8
S1-Ulhas River,19.25413583,73.22140167,23.771,-3919,6.80525,1715.1521,33.0625,18-05-2025 16:18,0,26715.1152,32.5,29.9,21.6
S1-Ulhas River,19.25413917,73.22140117,30.958,-3936,6.94354,1848.63745,33.0625,18-05-2025 16:19,0,23560.6719,32.5,30,14.4
S1-Ulhas River,19.2541415,73.22140383,30.958,-3960,6.71749,1939.80701,33,18-05-2025 16:19,0,20248.1699,32.5,29.9,31.2
S1-Ulhas River,19.25414083,73.22140917,31.214,-3987,5.2522,1985.76587,33.0625,18-05-2025 16:20,0,20273.3301,32.4,30,31.9
S1-Ulhas River,19.2541445,73.22141767,31.582,-3925,4.46237,1996.23499,33.0625,18-05-2025 16:20,0,20295.3477,32.4,30,23
S1-Ulhas River,19.25414417,73.22143017,32.178,-3890,3.96242,2001.50586,33.0625,18-05-2025 16:20,0,19299.3926,32.4,30,33.9
S1-Ulhas River,19.254148,73.22143083,33.03,-3898,4.89585,2012.11951,33.0625,18-05-2025 16:21,0,20046.9238,32.4,29.9,13.1
S1-Ulhas River,19.254144,73.22143783,18.779,-4002,4.38259,1985.76587,33.0625,18-05-2025 16:21,0,20062.6426,32.4,30,13.4
S1-Ulhas River,19.254142,73.2214245,19.373,-3989,4.59534,541.33392,33,18-05-2025 16:21,0,20068.9316,32.4,29.9,29.1
S1-Ulhas River,19.2541325,73.2214175,19.373,-3966,4.39589,1715.1521,33.0625,18-05-2025 16:22,0,20106.6602,32.4,30,32.5
S1-Ulhas River,19.25413633,73.22140867,19.373,-3969,4.46503,1715.1521,32.9375,18-05-2025 16:23,0,20116.0938,32.4,30,29.3
S1-Ulhas River,19.2541355,73.22141533,19.373,-4018,4.52354,1715.1521,32.9375,18-05-2025 16:25,0,20138.1035,32.4,29.6,17.6
S1-Ulhas River,19.2541455,73.221419,19.688,-3982,1.61156,1715.1521,33.0625,18-05-2025 16:26,0,20134.959,32.4,29.7,31.4
S1-Ulhas River,19.254159,73.2214305,19.688,-4077,5.28145,1715.1521,31.125,18-05-2025 16:26,0,20131.8145,32.4,29.8,14.4
S1-Ulhas River,19.25417,73.22143517,19.688,-4446,5.93831,1715.1521,29.9375,18-05-2025 16:26,0,20150.6816,32.4,29.9,19.7
S1-Ulhas River,19.2541775,73.221436,19.688,-4862,6.11648,1715.1521,29.375,18-05-2025 16:27,0,20232.4434,32.3,29.9,24.8
S1-Ulhas River,19.2542425,73.22133667,19.688,-5321,6.16967,1719.18884,29.25,18-05-2025 16:27,0,20273.3301,32.3,29.9,21.6
S1-Ulhas River,19.25432867,73.22123633,19.688,-5543,6.16701,1715.1521,29.1875,18-05-2025 16:27,0,20285.9121,32.3,30,14.4
S1-Ulhas River,19.25433867,73.22121567,20.823,-5553,6.16967,1715.1521,29.0625,18-05-2025 16:28,0,20263.8945,32.3,29.9,31.2
S1-Ulhas River,19.25433883,73.22121167,22.623,-5527,6.59516,1719.18884,29.375,18-05-2025 16:28,0,22422.668,32.5,30,31.9
S1-Ulhas River,19.2543415,73.22121283,22.623,-5516,5.83725,1715.1521,29.4375,18-05-2025 16:28,0,26715.1152,32.5,30,23
S1-Ulhas River,19.254349,73.22121433,21.26,-5522,4.97829,1715.1521,29.0625,18-05-2025 16:29,0,23560.6719,32.5,30,33.9
S1-Ulhas River,19.25431633,73.22120583,71.323,0,6.33987,0,28,27-08-2025 11:16,0,12061.6836,28.7,28.3,2.7
S1-Ulhas River,19.25432967,73.22122333,71.402,-3937,6.33721,0,28.25,27-08-2025 11:16,0,16952.8711,28.7,28.3,2.7
S1-Ulhas River,19.25432567,73.22122917,72.075,-7460,6.33189,0,28.25,27-08-2025 11:17,0,17009.8691,28.7,28.3,2.5
S1-Ulhas River,19.25432817,73.22122283,72.986,-7398,6.34785,0,28.25,27-08-2025 11:17,0,16981.4434,28.7,28.4,2.8
S1-Ulhas River,19.2543245,73.22123267,73.778,-6420,5.03945,0,28.25,27-08-2025 11:17,0,16924.1367,28.7,28.4,2.5
S1-Ulhas River,19.25430467,73.22125967,74.887,-5217,2.72051,0,27.8125,27-08-2025 11:18,0,16924.1367,28.7,28.4,2.8
S1-Ulhas River,19.254257,73.22132283,75.56,-4996,2.74444,0,27.75,27-08-2025 11:18,0,16941.3984,28.8,28.4,2.8
S1-Ulhas River,19.25418633,73.22141467,76.075,-5048,2.2498,0,27.75,27-08-2025 11:18,0,17009.8691,28.8,28.4,2.8
S1-Ulhas River,19.254183,73.22142033,76.788,-5130,4.69374,0,27.75,27-08-2025 11:19,0,17038.166,28.8,28.4,3
S1-Ulhas River,19.25418883,73.22141733,76.986,-5284,5.14848,0,27.75,27-08-2025 11:19,0,17094.4316,28.8,28.4,3
S1-Ulhas River,19.25418067,73.22140517,77.065,-5405,5.1538,0,27.8125,27-08-2025 11:19,0,17144.7969,28.8,28.4,3.7
S1-Ulhas River,19.25417333,73.22140183,77.184,-5435,5.04477,0,27.75,27-08-2025 11:20,0,17144.7969,28.9,28.4,3
S1-Ulhas River,19.254153,73.22141333,77.184,-5425,4.97031,0,27.75,27-08-2025 11:20,0,17139.2109,28.9,28.5,3
S1-Ulhas River,19.25414783,73.22140967,77.184,-5415,4.8267,0,27.8125,27-08-2025 11:20,0,16970.0332,28.9,28.5,3.3
S1-Ulhas River,19.2541425,73.22140717,77.184,-5386,4.70437,0,27.8125,27-08-2025 11:21,0,15031.5361,29,28.5,2.8
S1-Ulhas River,19.25413733,73.22140767,34.889,-5367,4.6964,611.59668,27.8125,27-08-2025 11:21,0,16981.4434,29,28.5,54.8
S1-Ulhas River,19.25414133,73.22140383,70.174,-5345,4.81607,2123.80542,27.8125,27-08-2025 11:21,0,16924.1367,29,28.4,53.8
S1-Ulhas River,19.254138,73.22140017,70.927,-5271,3.62468,2123.80542,27.8125,27-08-2025 11:22,0,16924.1367,28.9,28.2,52.1
S1-Ulhas River,19.25413817,73.22140183,71.323,-5185,3.57681,2123.80542,27.75,27-08-2025 11:22,0,16941.3984,28.9,28.2,52.1
S1-Ulhas River,19.2541375,73.2214005,71.402,-5187,4.598,2129.66724,27.8125,27-08-2025 11:23,0,17009.8691,28.9,28.2,52.2
S1-Ulhas River,19.254134,73.22139917,72.075,-5309,4.47035,2123.80542,27.8125,27-08-2025 11:23,0,17038.166,28.9,28.1,52.1
S1-Ulhas River,19.25413583,73.22140167,72.986,-5398,4.29749,2123.80542,27.8125,27-08-2025 11:23,0,17094.4316,28.9,28.1,52.1
S1-Ulhas River,19.25413917,73.22140117,73.778,-5393,4.26026,2123.80542,27.8125,27-08-2025 11:24,0,17144.7969,28.9,28.1,52.1
S1-Ulhas River,19.2541415,73.22140383,74.887,-5387,4.29749,2123.80542,27.8125,27-08-2025 11:24,0,17144.7969,28.9,28.1,52.1
S1-Ulhas River,19.25414083,73.22140917,75.56,-5379,4.26824,2123.80542,27.8125,27-08-2025 11:24,0,17139.2109,28.9,28.1,52.1
S1-Ulhas River,19.2541445,73.22141767,76.075,-5375,4.21505,2123.80542,27.8125,27-08-2025 11:25,0,16970.0332,28.8,28.1,52
S1-Ulhas River,19.25414417,73.22143017,76.788,-5400,4.2124,2123.80542,27.8125,27-08-2025 11:25,0,15031.5361,28.8,28.1,51.9
S1-Ulhas River,19.254148,73.22143083,76.986,-5428,4.17251,2123.80542,27.8125,27-08-2025 11:25,0,25710.3477,28.8,28.2,51.9
S1-Ulhas River,19.254144,73.22143783,77.065,-5427,4.12996,2123.80542,27.875,27-08-2025 11:26,0,13479.0771,28.8,28.1,50.2
S1-Ulhas River,19.254142,73.2214245,77.184,-5391,4.08209,2117.97095,27.875,27-08-2025 11:26,0,29589.8496,28.8,28.1,50.5
S1-Ulhas River,19.2541325,73.2214175,77.184,-5385,4.08209,2117.97095,27.875,27-08-2025 11:26,0,29599.4453,28.8,28.1,50.4
